"i","new.neighbors"
1,270
1,271
1,1693
1,2310
1,3797
1,5063
1,5649
2,3
2,288
2,546
2,1973
2,3978
2,4036
2,4793
2,5501
3,288
3,545
3,546
3,1493
3,4036
3,4504
3,4793
3,5498
4,1375
4,1575
4,2229
4,3865
4,3983
4,4074
4,4404
5,1601
5,2730
5,3704
5,5115
5,5275
6,941
6,1602
6,2871
6,2922
6,3748
6,5257
6,5801
6,5802
7,8
7,1581
7,2874
7,3071
7,4083
7,4859
8,1650
8,2874
8,4083
8,4226
8,5259
9,1178
9,1824
9,2637
9,2924
9,3471
9,4249
9,4251
10,1434
10,1443
10,4041
10,4084
10,4085
10,4086
10,4218
10,5156
10,5658
11,1444
11,1445
11,1713
11,1842
11,2193
11,2253
11,3048
11,3440
11,4043
11,4797
12,985
12,2161
12,2195
12,4088
12,4798
12,4799
13,709
13,4375
13,4535
13,5119
14,273
14,1291
14,2675
14,4607
14,4608
14,4641
14,4841
15,1304
15,3455
15,4327
15,4379
15,4534
16,887
16,1879
16,2765
16,3819
16,4136
16,4881
16,5419
17,428
17,757
17,1237
17,1832
17,1991
17,2567
17,2803
17,3820
17,4394
17,4645
17,4845
18,755
18,1329
18,1498
18,3673
18,4393
18,5210
19,1499
19,1560
19,2627
19,2768
19,3617
19,3852
19,3854
19,4441
19,4613
20,373
20,799
20,1154
20,1327
20,3129
20,3691
20,5211
21,88
21,377
21,758
21,1045
21,2190
21,4621
21,4649
21,5426
21,5448
22,773
22,1931
22,1932
22,2807
23,24
23,982
23,1746
23,2192
23,4085
23,4878
23,5658
24,2192
24,4085
24,5658
25,26
25,338
25,1484
25,1840
25,3794
25,4398
25,5693
26,338
26,983
26,984
26,2055
26,3794
27,213
27,338
27,556
27,984
27,1474
27,3048
27,4043
27,5659
28,905
28,1049
28,1678
28,5510
28,5789
29,832
29,845
29,985
29,2892
29,3049
29,4579
29,4798
29,5174
30,718
30,1275
30,2444
30,2747
30,4830
31,372
31,658
31,1389
31,2665
31,3539
31,3825
31,4339
31,4821
31,5163
31,5371
32,132
32,1390
32,2472
32,2756
32,2896
32,3191
32,3538
32,3680
32,4159
32,5520
33,2599
33,2668
33,3406
33,3693
33,5522
33,5538
33,5588
33,5591
34,1420
34,2602
34,2909
34,4585
34,5428
34,5523
34,5619
35,413
35,1096
35,1229
35,2017
35,4298
35,4334
35,4335
35,4997
36,1395
36,2357
36,2358
36,2648
36,3892
36,4269
36,5242
36,5781
37,881
37,1022
37,1892
37,3197
37,3810
37,4525
37,4769
37,5782
38,309
38,310
38,1222
38,3796
38,4465
38,5168
38,5223
38,5263
39,40
39,1396
39,1787
39,2020
39,2361
39,3831
39,3893
39,5169
40,1396
40,1787
40,3199
40,3832
40,3893
40,4770
40,5102
40,5169
41,597
41,1369
41,1370
41,3658
41,3659
41,4928
42,1370
42,2426
42,3292
42,3415
42,3645
42,3658
42,4689
42,5057
42,5345
43,1199
43,1200
43,2076
43,2941
43,3646
43,4059
43,5349
44,1105
44,1125
44,1160
44,1163
44,2319
44,3861
44,4652
44,4832
45,54
45,1624
45,3261
45,4775
45,4806
46,414
46,634
46,2565
46,3116
46,3624
46,4239
46,4390
46,4490
47,633
47,2626
47,4240
47,4435
47,4436
47,5247
48,65
48,1236
48,1435
48,2321
48,4242
48,4245
48,5469
48,5486
49,2809
49,4072
49,5471
49,5686
50,1234
50,1820
50,3328
50,4246
50,4777
50,4818
50,5472
51,917
51,2385
51,3268
51,3469
51,3817
51,4078
51,4539
51,5075
52,384
52,1364
52,1740
52,2184
52,4609
52,4610
52,4664
53,1163
53,1933
53,2271
53,2272
53,3260
53,4243
53,4652
53,4806
54,2809
54,3025
54,3261
54,4775
54,5466
55,2546
55,3316
55,3694
55,4151
55,4809
55,5456
55,5481
56,143
56,734
56,1080
56,1223
56,2324
56,2519
56,2547
56,3262
56,4113
57,59
57,2329
57,3263
57,3264
57,5193
58,141
58,3265
58,3484
59,1578
59,2009
59,3263
59,3264
59,3696
59,4813
59,5484
60,941
60,2330
60,3749
60,5484
61,690
61,761
61,2873
61,3047
61,3267
61,4080
62,631
62,2247
62,3298
62,4121
62,4122
62,4817
63,381
63,382
63,1124
63,1495
63,5245
64,1125
64,1163
64,2012
64,2322
64,3861
64,4776
65,1163
65,1236
65,2012
65,2321
65,4242
65,4776
65,4777
65,5472
66,1818
66,2250
66,3115
66,3330
66,5243
66,5244
66,5465
66,5469
66,5486
66,5487
67,489
67,1025
67,1679
67,2149
67,2937
67,3079
67,3144
67,4630
67,4866
67,5073
67,5074
67,5318
67,5759
68,693
68,694
68,937
68,1576
68,1635
68,1764
68,3080
68,3755
69,1040
69,1766
69,1835
69,2025
69,2417
69,2568
69,2818
69,2878
69,3148
69,3427
69,5610
70,71
70,1767
70,3150
70,3242
71,1440
71,1767
71,2309
71,2419
71,2820
71,3150
71,3242
72,135
72,552
72,956
72,2293
72,2513
72,2515
72,2712
72,2881
72,3638
72,5724
73,399
73,400
73,3301
73,3558
73,3559
73,4728
73,4729
73,5663
74,1810
74,2541
74,3205
74,3556
74,3567
74,5026
74,5664
75,621
75,925
75,2424
75,2535
75,2713
75,2929
75,4174
75,4850
75,5032
75,5708
76,746
76,776
76,1116
76,2146
76,2153
76,2304
76,2864
76,3799
76,4111
76,4736
76,5306
76,5343
77,747
77,1139
77,1302
77,1321
77,1750
77,3053
77,3438
77,4098
77,4175
78,1264
78,1751
78,2662
78,4202
78,4978
78,5628
79,3227
79,4200
79,4261
79,4768
80,274
80,413
80,1489
80,2017
80,2258
80,2708
80,4298
80,4996
81,630
81,1753
81,1754
81,2198
81,3891
81,4126
81,4127
82,104
82,1892
82,1893
82,2933
82,3020
82,3197
82,5037
82,5101
82,5698
82,5783
83,104
83,108
83,882
83,1366
83,3655
83,4543
83,5101
83,5218
84,646
84,945
84,3499
84,3500
84,4860
84,5370
84,5570
84,5671
85,130
85,1034
85,1647
85,1756
85,2985
86,219
86,1027
86,1762
86,1902
86,1903
86,2299
86,2664
86,3143
86,3736
86,4138
86,4139
86,5159
87,299
87,744
87,2578
87,3161
87,3887
87,5706
88,1045
88,2712
88,4312
88,5426
89,1061
89,1121
89,1987
89,5801
89,5802
90,690
90,691
90,692
90,761
90,2231
90,2325
90,2326
90,3256
91,691
91,1989
91,2325
91,2326
91,4387
91,4635
91,5415
91,5445
92,426
92,1097
92,1650
92,3786
92,4135
92,4841
93,206
93,611
93,1123
93,1227
93,1708
93,4447
93,4882
93,5805
94,1902
94,4138
94,5159
94,5308
95,267
95,268
95,1199
95,1683
95,1737
95,5104
95,5349
96,886
96,1270
96,1271
96,1517
96,1633
96,1975
96,2256
96,2344
96,2949
96,5240
97,886
97,1232
97,1518
97,1633
97,1739
97,4259
97,5388
98,752
98,2254
98,2429
98,3606
98,3648
98,3649
98,3952
98,4063
98,4472
98,5697
99,3941
99,4198
99,5748
99,5777
99,5815
99,5818
99,5819
100,640
100,785
100,1274
100,1588
100,5095
101,1377
101,2273
101,2275
101,2851
101,3202
101,3577
101,3946
101,5286
102,257
102,729
102,2022
102,2220
102,3083
102,3216
102,3221
102,3373
102,3390
103,811
103,1104
103,2016
103,3534
103,3801
103,4588
103,5078
103,5098
104,1893
104,2290
104,3655
104,5101
104,5783
105,2109
105,2111
105,2645
105,3104
105,4239
105,4241
105,5423
106,753
106,754
106,1547
106,3119
106,3610
106,4253
106,4488
107,109
107,577
107,1342
107,1783
107,1784
107,2634
107,4133
107,5220
107,5803
108,1023
108,2290
108,2934
108,2935
108,3655
108,4543
109,577
109,1342
109,2634
109,4634
109,5127
110,3657
110,4081
110,4754
110,5127
110,5222
110,5414
111,1623
111,3551
111,3601
111,3962
111,4801
111,5213
112,1164
112,1818
112,2251
112,3329
112,4246
113,1159
113,2252
113,3115
113,5244
113,5465
113,5488
114,1909
114,2741
114,3726
114,4735
114,5138
115,116
115,2039
115,2785
115,3074
115,3334
115,3727
115,5672
116,2785
116,3074
116,3334
116,3335
116,5606
116,5672
117,787
117,2131
117,3823
117,4207
117,5855
118,350
118,351
118,1067
118,2040
118,2232
118,5856
119,172
119,302
119,2098
119,2592
119,3337
119,3517
120,1425
120,1618
120,2164
120,2165
120,2594
120,3097
120,5541
120,5857
121,349
121,772
121,1017
121,1721
121,1788
121,2043
121,2710
121,3476
121,3479
121,3842
121,5302
122,846
122,1460
122,1850
122,2596
122,3414
122,4919
122,5587
123,2558
123,2597
123,5007
124,126
124,127
124,207
124,879
124,5616
124,5618
125,528
125,1462
125,3733
125,3735
125,4920
125,5613
126,127
126,207
126,306
126,1464
126,1466
126,3408
126,5616
126,5618
127,1466
127,1569
127,2045
127,3408
127,3806
127,5617
127,5618
128,852
128,1091
128,1558
128,2186
128,4212
128,4478
128,5550
129,2203
129,3651
129,3743
129,5093
129,5112
129,5461
130,1034
130,1646
130,2985
130,3424
130,5387
131,1323
131,1355
131,2507
131,3647
131,3777
131,4416
131,4466
131,5106
131,5607
132,1208
132,1697
132,1867
132,1869
132,2756
132,3680
132,4159
133,196
133,608
133,1363
133,2413
133,2674
133,3635
133,4052
133,4423
133,4424
133,4554
133,5645
134,1083
134,1294
134,2734
134,3211
134,3219
134,4513
134,5039
135,552
135,1768
135,2513
135,4475
135,5014
135,5723
135,5724
136,1043
136,1187
136,2100
136,2566
136,2858
136,4235
136,4648
136,5152
136,5153
136,5690
137,882
137,1023
137,1231
137,2837
137,2935
137,3055
137,3249
137,4526
137,4543
137,5399
138,363
138,2412
138,2485
138,2519
138,2547
138,4359
138,4713
138,5516
139,140
139,364
139,513
139,1352
139,2035
139,4780
139,5547
140,364
140,2778
140,3098
140,3934
140,4360
140,4432
140,5547
141,3265
141,3484
141,3770
141,4103
