"NAME","P0040001","P0040003","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","H0040001","H0040002","H0040003","H0040004","H0050001","H0050002","H0050003","H0050004","H0050005","H0050006","H0050007","H0050008","P0120003","P0120004","P0120005","P0120006","P0120007","P0120008","P0120009","P0120010","P0120011","P0120012","P0120013","P0120014","P0120015","P0120016","P0120017","P0120018","P0120019","P0120020","P0120021","P0120022","P0120023","P0120024","P0120025","P0120027","P0120028","P0120029","P0120030","P0120031","state","county","tract","block.group","NAME.1","P0120032","P0120033","P0120034","P0120035","P0120036","P0120037","P0120038","P0120039","P0120040","P0120041","P0120042","P0120043","P0120044","P0120045","P0120046","P0120047","P0120048","P0120049","P0180001","P0180003","P0180005","P0180006","P0180008","P0180009","state.1","county.1","tract.1","block.group.1","TRACT_BLOC"
"Block Group 1",579,121,245,168,1,21,0,5,18,267,104,13,150,45,20,2,9,2,4,0,8,10,14,24,5,6,3,2,10,20,23,25,27,37,23,18,10,9,5,6,4,4,5,2,24,10,14,9,6,"17","031","010100","1","Block Group 1",3,4,14,28,25,21,22,20,25,17,11,8,8,4,5,5,2,2,267,78,10,39,103,37,"17","031","010100","1","0101001"
"Block Group 2",2311,248,343,1592,9,36,0,6,77,1009,108,10,891,142,82,3,33,1,0,0,23,98,101,72,61,38,17,6,58,86,74,65,74,73,87,66,15,27,7,8,13,6,5,1,105,94,90,44,33,"17","031","010100","2","Block Group 2",16,19,71,119,111,94,84,107,90,76,17,27,13,5,17,9,3,9,1009,135,37,311,429,97,"17","031","010100","2","0101002"
"Block Group 3",1964,247,913,630,3,93,0,11,67,1026,242,33,751,135,90,3,4,4,7,0,27,59,40,29,15,16,5,6,44,120,89,104,117,87,70,75,27,22,13,16,8,3,7,4,59,28,26,27,15,"17","031","010100","3","Block Group 3",6,13,61,107,122,86,80,89,81,54,33,23,9,23,18,12,5,11,1026,230,26,109,522,139,"17","031","010100","3","0101003"
"Block Group 1",1445,335,359,569,5,94,1,19,63,547,176,32,339,91,51,1,19,1,2,0,17,59,57,36,24,13,8,11,36,55,56,68,65,62,62,41,11,15,14,6,9,8,2,0,59,51,31,28,16,"17","031","010201","1","Block Group 1",8,12,35,65,70,68,44,71,58,41,8,18,7,7,15,10,3,2,547,193,40,84,173,57,"17","031","010201","1","0102011"
"Block Group 2",3872,1302,787,1457,23,142,5,24,132,1453,449,31,973,302,156,2,90,8,3,0,43,179,162,127,78,54,29,23,82,173,203,192,157,140,126,69,24,38,15,24,20,12,5,3,164,164,137,73,47,"17","031","010201","2","Block Group 2",23,26,100,180,205,172,130,121,108,111,42,38,18,22,20,17,10,9,1453,443,88,299,468,155,"17","031","010201","2","0102012"
"Block Group 3",1133,412,355,265,0,63,0,4,34,463,205,20,238,85,49,5,14,2,0,0,15,47,25,32,25,9,7,7,30,67,68,64,50,41,50,21,10,13,6,7,5,3,2,3,55,39,35,17,12,"17","031","010201","3","Block Group 3",5,8,22,51,51,53,44,40,35,27,4,13,6,9,5,4,1,5,463,163,18,53,184,45,"17","031","010201","3","0102013"
"Block Group 1",1265,377,388,418,3,45,0,5,29,508,124,10,374,43,25,2,9,0,4,0,3,42,28,25,11,9,5,3,30,53,68,52,45,43,74,43,10,23,16,14,32,21,10,8,40,29,19,7,8,"17","031","010202","1","Block Group 1",7,2,19,41,46,51,26,38,35,44,17,41,12,24,33,29,10,22,508,105,23,49,270,61,"17","031","010202","1","0102021"
"Block Group 2",1553,412,451,517,11,94,0,3,65,607,165,22,420,60,42,1,9,3,2,0,3,56,44,52,67,19,13,12,40,70,80,78,64,62,49,34,21,10,7,7,13,8,2,0,70,47,46,40,11,"17","031","010202","2","Block Group 2",4,13,36,73,72,67,49,53,55,36,13,19,13,10,9,3,2,4,607,188,38,79,211,91,"17","031","010202","2","0102022"
"Block Group 1",947,81,568,246,0,27,0,5,20,466,175,24,267,128,19,1,6,6,5,0,91,20,10,5,10,6,2,2,14,38,50,51,44,47,43,46,12,26,4,11,20,10,7,7,27,17,13,8,5,"17","031","010300","1","Block Group 1",1,2,14,37,44,39,42,34,24,45,19,23,7,18,21,10,9,3,466,120,16,32,238,60,"17","031","010300","1","0103001"
"Block Group 2",2179,456,987,603,6,59,4,7,57,858,268,74,516,110,62,1,5,4,8,0,30,67,49,35,21,18,14,20,42,125,110,102,89,88,71,59,24,26,13,20,41,26,12,22,62,40,26,19,13,"17","031","010300","2","Block Group 2",18,13,32,110,88,79,75,62,68,76,25,36,18,25,31,35,35,99,858,213,44,78,418,105,"17","031","010300","2","0103002"
"Block Group 3",1650,196,737,509,6,131,10,3,58,837,122,35,680,103,72,3,3,1,13,0,11,32,27,33,18,13,9,8,45,62,65,70,68,82,60,64,25,20,10,14,35,25,19,18,39,27,21,19,10,"17","031","010300","3","Block Group 3",5,3,46,79,65,59,54,63,58,49,16,38,22,15,41,28,30,41,837,147,26,83,480,101,"17","031","010300","3","0103003"
"Block Group 4",1460,436,544,333,1,115,2,3,26,665,213,33,419,87,54,5,18,5,2,0,3,71,41,27,19,15,8,9,44,120,63,82,71,50,38,35,13,16,11,14,11,6,2,1,42,40,37,29,14,"17","031","010300","4","Block Group 4",4,12,36,64,82,69,43,49,52,45,17,21,7,3,16,3,4,4,665,181,31,80,272,101,"17","031","010300","4","0103004"
"Block Group 1",1465,133,811,320,3,143,0,3,52,831,184,27,620,94,69,1,5,0,11,0,8,45,29,24,10,13,11,13,55,98,76,71,53,57,59,49,16,17,11,8,2,2,4,4,31,19,20,10,11,"17","031","010400","1","Block Group 1",12,36,58,95,83,67,52,50,50,53,16,19,15,9,13,4,9,6,831,187,24,60,445,115,"17","031","010400","1","0104001"
"Block Group 2",833,88,467,151,2,80,3,11,31,442,132,68,242,36,20,1,8,1,4,0,2,25,9,15,7,9,8,5,24,46,47,42,35,26,33,24,9,5,7,7,12,3,2,1,23,13,11,9,4,"17","031","010400","2","Block Group 2",3,7,40,57,47,32,35,31,31,27,6,10,10,6,14,3,7,6,442,99,11,40,209,83,"17","031","010400","2","0104002"
"Block Group 3",2744,259,1819,236,5,328,1,8,88,825,94,44,687,83,54,10,2,0,6,0,11,18,16,16,9,254,110,94,124,96,52,45,44,53,65,36,15,26,12,8,12,5,6,4,18,13,15,14,605,"17","031","010400","3","Block Group 3",185,197,162,80,51,49,25,42,42,48,8,19,6,8,10,10,9,8,825,132,22,52,443,176,"17","031","010400","3","0104003"
"Block Group 1",871,75,446,239,1,67,0,3,40,502,100,28,374,96,93,0,3,0,0,0,0,17,19,11,9,6,4,8,26,72,55,42,32,40,39,19,11,8,7,5,4,4,0,0,21,17,7,5,5,"17","031","010501","1","Block Group 1",4,14,47,80,53,37,27,28,21,24,10,6,6,9,3,7,1,1,502,93,11,46,281,71,"17","031","010501","1","0105011"
"Block Group 2",1897,218,633,724,9,242,4,15,52,985,206,11,768,106,78,5,11,2,4,0,6,60,41,41,29,30,12,7,58,153,111,104,80,62,58,39,12,16,12,9,14,2,3,0,48,37,46,18,16,"17","031","010501","2","Block Group 2",10,21,81,148,118,98,58,73,60,47,16,16,6,5,11,4,6,1,985,216,46,113,490,120,"17","031","010501","2","0105012"
"Block Group 3",1323,213,676,308,4,72,0,9,41,806,122,8,676,106,91,4,5,0,0,0,6,43,20,6,6,4,5,13,39,80,87,58,62,54,38,26,6,16,7,10,30,18,20,18,34,10,9,8,2,"17","031","010501","3","Block Group 3",10,14,55,84,68,53,31,32,28,23,12,15,11,24,35,26,38,35,806,156,28,52,472,98,"17","031","010501","3","0105013"
"Block Group 1",1334,163,740,303,2,93,0,2,31,660,163,19,478,184,56,0,4,2,4,0,118,37,14,15,12,10,28,58,98,88,84,57,53,39,38,35,17,11,5,5,5,1,5,1,38,20,9,9,10,"17","031","010502","1","Block Group 1",22,52,81,78,64,55,30,45,25,31,12,12,2,3,6,7,4,3,660,143,32,51,276,158,"17","031","010502","1","0105021"
