"i","new.neighbors"
1,8961
1,22915
1,40364
1,41395
2,3
2,14162
2,33805
2,35485
2,45083
3,7518
3,20651
3,21326
3,24649
3,24650
3,24651
3,33805
4,1375
4,1652
4,37525
4,37654
4,40903
4,42836
5,6
5,1653
5,1654
5,5454
5,17093
5,29335
5,32537
6,10873
6,18456
6,18513
6,21034
6,27867
6,27868
6,29336
6,29896
6,32537
7,9683
7,9684
7,19085
7,27216
7,27217
7,32534
8,7795
8,18875
8,27869
8,31388
8,35681
8,37844
8,40672
9,1389
9,18515
9,19088
9,28527
9,28528
9,31917
9,42453
10,7264
10,17390
10,20036
10,25489
11,12
11,23010
11,30003
11,30004
12,18180
12,26670
12,27498
12,30003
12,30004
12,40772
13,14
13,24706
13,26672
13,30449
13,34764
14,17159
14,24706
14,25220
14,26297
14,30449
14,40176
15,6440
15,14072
15,24531
15,29685
16,2888
16,5759
16,7122
16,26148
17,15105
17,16366
17,23149
17,45303
18,19782
18,41754
18,45508
18,45509
19,7506
19,18128
19,43123
20,11600
20,18131
20,22990
20,30944
20,42398
21,18131
21,22990
21,26864
21,34605
22,6081
22,12636
22,36723
22,46177
23,16775
23,24677
23,33672
23,45032
24,7622
24,12576
24,38403
24,43099
25,1026
25,6734
25,15441
25,15610
26,1771
26,3183
26,29438
27,12789
27,21257
27,27799
27,35657
27,37079
28,21558
28,21560
28,35054
28,37265
28,39976
29,7093
29,8291
29,8925
29,14496
29,15981
29,25751
29,28729
29,34408
29,45960
30,31
30,16672
30,21993
30,26229
30,28296
30,29446
30,32813
31,32
31,12925
31,16672
31,28295
31,35825
31,46182
32,2440
32,13847
32,35825
32,36056
33,15459
33,15595
33,16643
33,27806
34,13238
34,26252
34,43822
34,45775
35,19916
35,27815
35,30101
35,44484
36,8326
36,20858
36,30099
36,31372
37,11595
37,16698
37,33208
37,37651
38,7238
38,16338
38,27723
38,41656
38,41658
39,6748
39,9761
39,16340
39,18405
40,3174
40,6096
40,33019
40,41776
41,12579
41,15624
41,30949
41,40667
42,7245
42,10667
42,30491
42,40768
43,8711
43,8715
43,29475
43,29993
43,29994
44,23711
44,28095
44,42037
44,45749
45,3207
45,8523
45,16199
46,9835
46,28014
46,41540
46,43542
47,1707
47,3011
47,21602
47,30606
48,19924
48,31602
48,35886
48,39825
49,9834
49,34441
49,38424
49,39826
50,18971
50,18972
50,33821
50,39310
50,45329
51,6961
51,9609
51,33822
52,12389
52,20891
52,25019
52,26645
53,19841
53,20892
53,23695
53,34428
54,1276
54,3214
54,27847
54,27848
54,33438
55,1276
55,20785
55,24345
55,25017
55,27848
55,30979
56,3221
56,16897
56,17166
56,20900
57,14098
57,18650
57,20792
57,41551
58,12396
58,18537
58,21322
58,24643
59,7671
59,40374
59,40376
59,45590
60,5802
60,13099
60,15773
60,28092
60,34245
60,41421
61,9546
61,9549
61,18964
61,34344
62,4797
62,6105
62,21073
62,31689
63,2691
63,31809
63,42168
63,42465
64,4972
64,9631
64,33133
64,43769
64,44578
65,7003
65,18692
65,34829
65,35083
65,43768
66,3964
66,21333
66,23775
66,26323
66,43737
66,44251
67,3965
67,8112
67,20909
67,28104
68,3157
68,17707
68,19809
68,31627
69,3157
69,8802
69,10048
69,10049
69,19809
69,39298
69,41138
70,6839
70,6840
70,35699
70,36381
70,45284
71,2300
71,10781
71,24621
71,33853
72,2294
72,38269
72,44993
73,3638
73,5807
73,19167
73,31709
74,4706
74,8604
74,13502
74,20930
74,35952
75,554
75,2292
75,16396
75,16398
75,24146
76,4518
76,17286
76,26509
76,26510
76,27883
76,29504
76,42844
76,43885
77,38276
77,41845
77,43887
77,44133
78,6587
78,13383
78,23805
79,6588
79,13385
79,41846
79,44135
80,13395
80,25791
80,33640
80,38482
81,4240
81,28557
81,38577
82,311
82,312
82,8609
82,22112
82,37430
83,5241
83,22113
83,23378
83,42506
84,12975
84,20557
84,22113
84,37432
85,5243
85,23036
85,30050
85,37434
86,9253
86,12976
86,30148
86,30578
86,32076
86,42507
87,17747
87,18788
87,30912
87,32064
87,38579
87,45757
87,45758
88,6063
88,6064
88,16407
88,17749
88,28140
89,12324
89,20939
89,31045
89,37578
89,45526
90,12313
90,25281
90,27643
90,45528
91,14832
91,21759
91,25860
91,33251
91,46026
92,4537
92,21759
92,38127
92,39050
93,6707
93,12318
93,25283
93,30784
94,5096
94,5303
94,28566
94,33260
95,10894
95,19414
95,31723
95,41715
96,22262
96,28569
96,30887
97,98
97,11789
97,23401
97,25269
97,29733
97,35219
98,6288
98,6638
98,11789
98,20691
98,23402
98,35219
99,6692
99,7319
99,22263
99,39484
100,4422
100,6288
100,29356
100,29357
100,43018
101,21817
101,34299
101,42122
101,44028
102,34308
102,40475
102,42123
102,44035
103,6290
103,7710
103,7711
103,34299
103,40476
104,5046
104,9005
104,22036
104,23408
104,40973
105,19650
105,34565
105,34972
105,36452
106,15015
106,15839
106,25854
106,37613
106,41944
107,5388
107,17838
107,21165
107,23424
108,6722
108,25855
108,45869
109,6721
109,26950
110,6292
110,15841
111,5944
111,15854
111,28807
111,30263
111,31545
112,113
112,12865
112,15749
112,21159
113,2487
113,6871
113,15749
113,15852
113,21159
113,39056
113,39891
114,6881
114,14223
114,17842
114,35237
114,40799
115,17111
115,24519
115,25836
115,26139
115,40481
115,45110
116,1549
116,17233
116,20086
116,21375
116,32783
116,37725
117,17615
